Year,Category,Name,Month,Time,Status,Latitude,Longitude,Maximum Wind
1889,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1890,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1890,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1891,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1891,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1891,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1891,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1891,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1891,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1892,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1892,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1892,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1892,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1892,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1892,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1893,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1893,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1893,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1893,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1893,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1893,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1894,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1894,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1894,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1894,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1894,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1894,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1895,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1896,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1896,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1896,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1896,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1896,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1896,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1897,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1897,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1897,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1897,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1897,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1897,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1898,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1898,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1898,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1898,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1898,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1898,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1899,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1899,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1899,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1899,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1899,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1899,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1900,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1900,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1900,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1901,TS,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1901,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1901,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1901,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1901,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1901,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1902,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1902,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1903,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1903,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1903,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
