,ID,Name,Date,Time,Status,Latitude,Longitude,Maximum Wind
166,AL031852,            UNNAMED,1852-09-12,1800, TS,28.5N,80.5W,50
167,AL031852,            UNNAMED,1852-09-13,0, TS,29.2N,79.0W,60
168,AL031852,            UNNAMED,1852-09-13,600, HU,30.4N,77.0W,70
169,AL031852,            UNNAMED,1852-09-13,1200, HU,32.0N,74.5W,70
170,AL031852,            UNNAMED,1852-09-13,1800, HU,34.0N,71.5W,70
171,AL041852,            UNNAMED,1852-09-22,0, TS,16.1N,58.5W,50
172,AL041852,            UNNAMED,1852-09-22,600, TS,16.4N,59.1W,50
173,AL041852,            UNNAMED,1852-09-22,1200, TS,16.7N,59.7W,50
174,AL041852,            UNNAMED,1852-09-22,1800, TS,17.0N,60.3W,50
175,AL041852,            UNNAMED,1852-09-23,0, TS,17.4N,61.2W,60
176,AL041852,            UNNAMED,1852-09-23,600, TS,17.7N,62.2W,60
177,AL041852,            UNNAMED,1852-09-23,1200, HU,18.1N,63.1W,70
178,AL041852,            UNNAMED,1852-09-23,1800, HU,18.4N,63.7W,70
179,AL041852,            UNNAMED,1852-09-24,0, HU,18.7N,64.3W,70
180,AL041852,            UNNAMED,1852-09-24,600, HU,18.9N,65.0W,70
181,AL041852,            UNNAMED,1852-09-24,1200, HU,19.1N,65.8W,70
182,AL041852,            UNNAMED,1852-09-24,1800, HU,19.2N,66.6W,70
183,AL041852,            UNNAMED,1852-09-25,0, HU,19.5N,67.4W,80
184,AL041852,            UNNAMED,1852-09-25,600, HU,19.7N,68.1W,80
185,AL041852,            UNNAMED,1852-09-25,1200, HU,19.9N,68.8W,80
186,AL041852,            UNNAMED,1852-09-25,1800, HU,20.0N,69.6W,80
187,AL041852,            UNNAMED,1852-09-26,0, HU,20.1N,70.3W,80
188,AL041852,            UNNAMED,1852-09-26,600, HU,20.4N,70.9W,80
189,AL041852,            UNNAMED,1852-09-26,1200, HU,20.7N,71.6W,80
190,AL041852,            UNNAMED,1852-09-26,1800, HU,21.0N,72.1W,80
191,AL041852,            UNNAMED,1852-09-27,0, HU,21.4N,73.0W,80
192,AL041852,            UNNAMED,1852-09-27,600, HU,21.9N,73.6W,80
193,AL041852,            UNNAMED,1852-09-27,1200, HU,22.5N,74.0W,80
194,AL041852,            UNNAMED,1852-09-27,1800, HU,23.2N,74.4W,80
195,AL041852,            UNNAMED,1852-09-28,0, HU,23.9N,74.6W,80
196,AL041852,            UNNAMED,1852-09-28,600, HU,24.6N,74.6W,80
197,AL041852,            UNNAMED,1852-09-28,1200, HU,25.4N,74.5W,80
198,AL041852,            UNNAMED,1852-09-28,1800, HU,26.5N,74.0W,80
199,AL041852,            UNNAMED,1852-09-29,0, HU,27.4N,73.5W,80
200,AL041852,            UNNAMED,1852-09-29,600, HU,28.2N,72.9W,80
201,AL041852,            UNNAMED,1852-09-29,1200, HU,29.0N,72.3W,80
202,AL041852,            UNNAMED,1852-09-29,1800, HU,30.2N,71.5W,80
203,AL041852,            UNNAMED,1852-09-30,0, HU,31.6N,70.5W,70
204,AL041852,            UNNAMED,1852-09-30,600, HU,32.7N,69.6W,70
205,AL041852,            UNNAMED,1852-09-30,1200, HU,33.8N,69.1W,70
206,AL041852,            UNNAMED,1852-09-30,1800, HU,34.9N,68.6W,70
207,AL051852,            UNNAMED,1852-10-06,0, HU,17.0N,73.8W,90
208,AL051852,            UNNAMED,1852-10-06,600, HU,17.1N,75.0W,90
209,AL051852,            UNNAMED,1852-10-06,1200, HU,17.2N,76.3W,90
210,AL051852,            UNNAMED,1852-10-06,1800, HU,17.2N,77.8W,90
211,AL051852,            UNNAMED,1852-10-07,0, HU,17.7N,79.6W,90
212,AL051852,            UNNAMED,1852-10-07,600, HU,18.2N,81.5W,90
213,AL051852,            UNNAMED,1852-10-07,1200, HU,18.7N,83.1W,90
214,AL051852,            UNNAMED,1852-10-07,1800, HU,19.5N,84.4W,90
215,AL051852,            UNNAMED,1852-10-08,0, HU,20.4N,85.5W,90
216,AL051852,            UNNAMED,1852-10-08,600, HU,21.2N,86.4W,90
217,AL051852,            UNNAMED,1852-10-08,1200, HU,22.4N,86.9W,90
218,AL051852,            UNNAMED,1852-10-08,1800, HU,24.0N,86.8W,90
219,AL051852,            UNNAMED,1852-10-09,0, HU,25.6N,86.4W,90
220,AL051852,            UNNAMED,1852-10-09,600, HU,26.9N,85.9W,90
