ID,Name,Month,Year,Time,Status,Latitude,Longitude,Maximum Wind
AL101998,             JEANNE,September,1998,1800, HU,36.2N,42.0W,90
AL102000,           FLORENCE,September,2000,1800, HU,36.1N,74.0W,70
AL102001,           HUMBERTO,September,2001,1800, HU,42.4N,67.5W,90
AL102002,            ISIDORE,September,2002,2100, HU,22.3N,89.6W,110
AL102003,             FABIAN,September,2003,1800, HU,48.7N,65.3W,125
AL102006,              ISAAC,September,2006,1800, HU,39.8N,60.3W,75
AL102013,             INGRID,September,2013,1800, HU,23.0N,96.2W,75
AL111870,            UNNAMED,October,1870,1800, HU,24.2N,88.0W,70
AL111878,            UNNAMED,October,1878,1800, HU,41.5N,82.4W,90
AL111906,            UNNAMED,November,1906,600, HU,21.7N,80.5W,70
AL111909,            UNNAMED,October,1909,1800, HU,29.0N,84.5W,105
AL111916,            UNNAMED,September,1916,1800, HU,39.5N,67.8W,105
AL111924,            UNNAMED,November,1924,1800, HU,29.5N,75.5W,70
AL111933,            UNNAMED,September,1933,1800, HU,27.7N,81.6W,120
AL111936,            UNNAMED,August,1936,1200, HU,21.6N,96.9W,70
AL111937,            UNNAMED,October,1937,1800, HU,38.0N,53.0W,70
AL111942,            UNNAMED,November,1942,1800, HU,22.7N,88.9W,95
AL111945,            UNNAMED,October,1945,1800, HU,28.5N,80.2W,85
AL111949,            UNNAMED,October,1949,1800, HU,29.1N,95.6W,95
AL111950,               KING,October,1950,2200, HU,30.0N,82.4W,115
AL111951,                JIG,October,1951,1800, HU,31.5N,75.5W,65
AL111959,             JUDITH,October,1959,1800, HU,31.1N,73.6W,75
AL111964,             ISBELL,October,1964,1800, HU,33.4N,84.5W,110
AL111966,               LOIS,November,1966,1800, HU,46.4N,49.8W,70
AL111967,             ARLENE,September,1967,1800, HU,43.3N,55.8W,75
AL111971,               FERN,September,1971,1800, HU,28.5N,95.3W,80
AL111976,            FRANCES,September,1976,1800, HU,33.4N,55.2W,100
AL111979,           FREDERIC,September,1979,1800, HU,32.2N,88.7W,115
AL111988,               JOAN,October,1988,1800, HU,12.0N,85.0W,125
AL111989,               HUGO,September,1989,1800, HU,33.5N,80.3W,140
AL111991,              GRACE,October,1991,1800, HU,32.4N,68.5W,90
AL111994,           FLORENCE,November,1994,1800, HU,44.2N,57.0W,95
AL111998,               KARL,September,1998,1800, HU,39.1N,54.0W,90
AL112000,             GORDON,September,2000,1800, HU,28.0N,85.4W,70
AL112001,               IRIS,October,2001,1800, HU,17.4N,88.4W,125
AL112004,             JEANNE,September,2004,1800, HU,27.7N,81.6W,105
AL112008,               KYLE,September,2008,1800, HU,43.8N,69.7W,75
AL112009,                IDA,November,2009,2100, HU,28.5N,88.7W,90
AL112010,               IGOR,September,2010,1800, HU,46.6N,65.9W,135
AL112012,               KIRK,September,2012,1800, HU,34.6N,50.9W,90
AL112015,            JOAQUIN,September,2015,2100, HU,40.3N,74.8W,135
AL121909,            UNNAMED,November,1909,1800, HU,21.5N,75.3W,90
AL121933,            UNNAMED,September,1933,1800, HU,43.2N,75.4W,120
AL121944,            UNNAMED,October,1944,1800, HU,37.5N,39.0W,70
AL121951,            UNNAMED,December,1951,1800, HU,34.5N,46.4W,70
AL121953,              HAZEL,October,1953,1800, HU,27.1N,84.4W,75
AL121967,              CHLOE,September,1967,1800, HU,44.9N,57.8W,95
AL121970,               ELLA,September,1970,1800, HU,24.0N,98.5W,110
AL121973,              ELLEN,September,1973,1800, HU,42.1N,54.0W,100
AL121980,            FRANCES,September,1980,1800, HU,45.7N,50.8W,100
AL121985,               JUAN,October,1985,1800, HU,29.6N,93.0W,75
AL121987,              EMILY,September,1987,1800, HU,44.8N,71.5W,110
AL121990,          JOSEPHINE,October,1990,1800, HU,38.9N,41.5W,75
AL121991,            UNNAMED,November,1991,1800, HU,39.5N,66.5W,65
AL121994,             GORDON,November,1994,1800, HU,33.7N,75.7W,75
AL121996,               LILI,October,1996,1800, HU,40.5N,83.5W,100
AL121998,               LISA,October,1998,1800, HU,47.1N,39.3W,65
AL122002,               KYLE,September,2002,1800, HU,29.0N,62.3W,75
AL122004,               KARL,September,2004,1800, HU,45.5N,49.5W,125
AL122005,            KATRINA,August,2005,2230, HU,31.1N,89.6W,150
AL122007,              KAREN,September,2007,1800, HU,12.3N,43.3W,65
AL122010,              JULIA,September,2010,1800, HU,24.6N,47.4W,120
AL122011,              KATIA,September,2011,1800, HU,42.2N,70.2W,120
AL122012,             LESLIE,September,2012,1800, HU,44.0N,62.8W,70
AL122015,               KATE,November,2015,1800, HU,37.6N,71.3W,75
AL131887,            UNNAMED,October,1887,1800, HU,29.5N,91.3W,75
AL131901,            UNNAMED,November,1901,1800, HU,34.0N,62.8W,70
AL131916,            UNNAMED,October,1916,1800, HU,34.3N,64.7W,105
AL131933,            UNNAMED,September,1933,1800, HU,22.3N,97.5W,95
AL131934,            UNNAMED,November,1934,1800, HU,31.3N,67.6W,100
AL131936,            UNNAMED,September,1936,1800, HU,39.8N,74.8W,105
AL131944,            UNNAMED,October,1944,2100, HU,28.4N,83.0W,125
AL131949,            UNNAMED,October,1949,1800, HU,35.9N,71.4W,80
AL131950,               LOVE,October,1950,1800, HU,27.1N,91.0W,70
AL131954,            UNNAMED,October,1954,1800, HU,44.0N,56.0W,85
AL131955,              KATIE,October,1955,1800, HU,18.1N,73.7W,95
AL131967,             BEULAH,September,1967,1800, HU,27.7N,98.4W,140
AL131969,          FRANCELIA,September,1969,1800, HU,17.3N,88.8W,100
AL131971,              EDITH,September,1971,1800, HU,29.5N,96.2W,140
AL131972,               DAWN,September,1972,1800, HU,36.6N,73.5W,70
AL131975,             ELOISE,September,1975,1800, HU,30.2N,89.5W,110
AL131977,             EVELYN,October,1977,1800, HU,47.4N,63.3W,70
AL131978,            FLOSSIE,September,1978,1800, HU,43.1N,44.0W,85
AL131981,              EMILY,September,1981,1800, HU,42.3N,63.6W,80
AL131985,               KATE,November,1985,2230, HU,31.5N,86.6W,105
AL131987,              FLOYD,October,1987,2100, HU,25.1N,82.9W,65
AL131990,              KLAUS,October,1990,1800, HU,17.7N,61.6W,70
AL131995,               LUIS,September,1995,1800, HU,47.1N,69.8W,120
AL131996,              MARCO,November,1996,1200, HU,14.2N,78.5W,65
AL131998,              MITCH,October,1998,1800, HU,17.3N,85.8W,155
AL131999,              IRENE,October,1999,2000, HU,41.5N,82.2W,95
AL132000,              ISAAC,September,2000,1800, HU,39.7N,56.2W,120
AL132001,              KAREN,October,2001,1800, HU,38.6N,64.6W,70
AL132002,               LILI,September,2002,2013, HU,29.5N,92.2W,125
AL132003,             ISABEL,September,2003,1800, HU,36.7N,77.7W,145
AL132004,               LISA,October,2004,1200, HU,41.6N,41.6W,65
AL132007,            LORENZO,September,2007,600, HU,20.5N,97.1W,70
AL132010,               KARL,September,2010,1800, HU,19.7N,96.4W,110
AL132012,            MICHAEL,September,2012,1800, HU,33.9N,46.9W,100
AL141887,            UNNAMED,October,1887,1800, HU,38.4N,40.2W,75
AL141916,            UNNAMED,October,1916,1800, HU,31.6N,90.6W,95
AL141932,            UNNAMED,November,1932,1800, HU,37.0N,81.1W,150
AL141933,            UNNAMED,September,1933,1800, HU,22.0N,97.8W,140
AL141954,              HAZEL,October,1954,1800, HU,33.9N,78.7W,115
AL141967,              DORIA,September,1967,1800, HU,38.0N,77.0W,75
AL141968,             GLADYS,October,1968,1800, HU,40.7N,84.2W,75
AL141971,             GINGER,September,1971,1800, HU,34.5N,76.5W,95
AL141973,               FRAN,October,1973,1800, HU,48.0N,55.2W,70
AL141974,               FIFI,September,1974,1800, HU,16.6N,88.2W,95
AL141975,               FAYE,September,1975,1800, HU,42.9N,65.7W,90
AL141979,             GLORIA,September,1979,1800, HU,43.4N,48.6W,85
AL141980,               IVAN,October,1980,1800, HU,49.7N,41.2W,90
AL141981,              FLOYD,September,1981,1800, HU,31.4N,69.1W,100
AL141984,           HORTENSE,September,1984,1800, HU,30.2N,61.1W,65
AL141989,              JERRY,October,1989,2100, HU,29.2N,95.0W,75
AL141990,               LILI,October,1990,1800, HU,33.2N,72.5W,65
AL141998,             NICOLE,November,1998,1800, HU,37.0N,42.6W,75
AL141999,               JOSE,October,1999,1800, HU,32.2N,63.8W,85
AL142000,              JOYCE,September,2000,1800, HU,12.5N,48.6W,80
AL142005,              MARIA,September,2005,1800, HU,39.1N,56.8W,100
AL142010,               LISA,September,2010,2100, HU,21.3N,28.0W,75
AL142011,              MARIA,September,2011,1800, HU,42.9N,66.9W,70
AL142012,             NADINE,September,2012,1800, HU,37.2N,53.7W,80
AL151887,            UNNAMED,October,1887,1800, HU,23.7N,55.6W,90
AL151932,            UNNAMED,November,1932,1800, HU,36.2N,48.1W,85
AL151933,            UNNAMED,September,1933,1200, HU,40.0N,37.0W,65
AL151936,            UNNAMED,September,1936,1800, HU,40.2N,70.7W,90
AL151975,             GLADYS,September,1975,1800, HU,46.6N,73.0W,120
AL151979,              HENRI,September,1979,1800, HU,20.9N,95.0W,75
AL151981,               GERT,September,1981,1800, HU,34.1N,74.4W,90
AL151995,            MARILYN,September,1995,2100, HU,39.4N,69.5W,100
AL152000,              KEITH,September,2000,2300, HU,22.6N,97.9W,120
AL152001,           MICHELLE,November,2001,2300, HU,25.4N,84.3W,120
AL152003,               JUAN,September,2003,1800, HU,46.0N,64.1W,90
AL152005,               NATE,September,2005,1800, HU,34.0N,66.2W,80
AL152008,               OMAR,October,2008,1800, HU,30.1N,68.3W,115
AL152011,               NATE,September,2011,1800, HU,19.7N,92.3W,65
AL161954,              ALICE,January,1955,2100, HU,20.6N,63.0W,80
AL161969,              GERDA,September,1969,1800, HU,44.0N,78.0W,110
AL161978,              GRETA,September,1978,1800, HU,17.0N,88.2W,115
AL161980,             JEANNE,November,1980,1800, HU,24.1N,89.8W,85
AL161981,             HARVEY,September,1981,1800, HU,37.5N,62.8W,115
AL161984,          JOSEPHINE,October,1984,1800, HU,41.3N,72.6W,90
AL161990,               NANA,October,1990,1800, HU,28.9N,66.9W,75
AL161995,               NOEL,September,1995,1800, HU,32.4N,42.7W,65
AL161999,              LENNY,November,1999,1800, HU,18.1N,78.6W,135
AL162001,               NOEL,November,2001,1800, HU,38.8N,50.3W,65
AL162003,               KATE,September,2003,1800, HU,38.6N,56.4W,110
AL162005,            OPHELIA,September,2005,1800, HU,34.7N,79.3W,75
AL162007,               NOEL,November,2007,1800, HU,30.3N,76.5W,70
AL162011,            OPHELIA,September,2011,1800, HU,42.8N,63.3W,120
AL171887,            UNNAMED,November,1887,1800, HU,24.5N,73.5W,70
AL171933,            UNNAMED,October,1933,1800, HU,39.3N,82.3W,110
AL171969,              HOLLY,September,1969,1800, HU,17.0N,53.1W,75
AL171974,           GERTRUDE,September,1974,1800, HU,11.7N,56.6W,65
AL171976,             GLORIA,September,1976,1800, HU,36.4N,60.3W,90
AL171995,               OPAL,October,1995,2200, HU,31.0N,92.3W,130
AL172000,            MICHAEL,October,2000,1800, HU,44.0N,70.9W,85
AL172001,               OLGA,November,2001,1800, HU,32.6N,57.6W,80
AL172005,           PHILIPPE,September,2005,1800, HU,17.9N,56.8W,70
AL172008,             PALOMA,November,2008,1800, HU,20.7N,81.8W,125
AL172010,               OTTO,October,2010,1800, HU,31.4N,64.8W,75
AL172011,           PHILIPPE,October,2011,1800, HU,30.1N,61.0W,80
AL172012,             RAFAEL,October,2012,1800, HU,36.5N,65.8W,80
AL181887,            UNNAMED,December,1887,1800, HU,37.7N,57.1W,70
AL181933,            UNNAMED,October,1933,1800, HU,18.7N,78.1W,80
AL181970,            UNNAMED,October,1970,1800, HU,42.5N,66.0W,90
AL181971,              IRENE,September,1971,1800, HU,11.4N,83.5W,70
AL181980,               KARL,November,1980,1800, HU,42.3N,44.8W,75
AL181981,              IRENE,September,1981,1800, HU,41.3N,57.2W,105
AL181984,              KLAUS,November,1984,1800, HU,35.0N,64.0W,80
AL182005,               RITA,September,2005,1800, HU,30.5N,94.1W,155
AL182010,              PAULA,October,2010,1800, HU,22.2N,86.0W,90
AL182011,               RINA,October,2011,1800, HU,18.6N,86.7W,100
AL182012,              SANDY,October,2012,1900, HU,38.3N,77.2W,100
AL191967,               FERN,October,1967,1800, HU,22.8N,97.8W,75
AL191970,            UNNAMED,October,1970,600, HU,37.8N,36.5W,65
AL191995,            ROXANNE,October,1995,2152, HU,22.3N,93.8W,100
AL192010,            RICHARD,October,2010,1800, HU,17.4N,89.2W,85
AL201969,               INGA,September,1969,1800, HU,34.5N,65.7W,100
AL201984,               LILI,December,1984,1800, HU,31.1N,57.1W,70
AL202005,               STAN,October,2005,1200, HU,19.2N,94.9W,70
